Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	yeast1 Spectral Count	yeast2 Spectral Count	yeast3 Spectral Count	yeast1 Unique Spectral Count	yeast2 Unique Spectral Count	yeast3 Unique Spectral Count	yeast1 Total Spectral Count	yeast2 Total Spectral Count	yeast3 Total Spectral Count	yeast1 Intensity	yeast2 Intensity	yeast3 Intensity	yeast1 MaxLFQ Intensity	yeast2 MaxLFQ Intensity	yeast3 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q03769|ENT5_YEAST	Q03769	ENT5_YEAST	ENT5	411	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Epsin-5	0.9674	0.999	1	1	1	1	0	0	1	0	0	1	0	0	1	2739404.5	4997832.5	5903414.0	2739404.5	4997832.5	5903414.0	
sp|Q03774|TRM82_YEAST	Q03774	TRM82_YEAST	TRM82	444	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit TRM82	0.9987	0.9978	2	4	4	4	2	1	1	2	1	1	2	1	1	2685306.0	3837497.2	2022594.2	1374047.9	1927976.2	2072951.8	
sp|Q03778|RIFK_YEAST	Q03778	RIFK_YEAST	FMN1	218	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Riboflavin kinase	0.9673	0.999	1	1	1	1	1	0	0	1	0	0	1	0	0	6071348.0	4023611.8	3273673.5	6071348.0	4023611.8	3273673.5	
sp|Q03786|GNTK_YEAST	Q03786	GNTK_YEAST	YDR248C	193	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Probable gluconokinase	0.9995	0.9978	2	4	4	4	1	2	1	1	2	1	1	2	1	6323414.0	5059478.0	6345610.0	6323414.0	5059478.0	6345610.0	
sp|Q03834|MSH6_YEAST	Q03834	MSH6_YEAST	MSH6	1242	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	DNA mismatch repair protein MSH6	0.999	0.9988	2	4	4	4	2	1	1	2	1	1	2	1	1	854399.1	1188506.0	1100973.6	854399.1	1188506.0	1100973.6	
sp|Q03862|ARX1_YEAST	Q03862	ARX1_YEAST	ARX1	593	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Probable metalloprotease ARX1	1.0	0.999	3	8	8	8	4	2	2	4	2	2	4	2	2	2.4791624E7	1.7657302E7	2.0098234E7	1.2015801E7	9368129.0	8714676.0	
sp|Q03940|RUVB1_YEAST	Q03940	RUVB1_YEAST	RVB1	463	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	RuvB-like protein 1	1.0	0.999	10	31	31	31	11	11	9	11	11	9	11	11	9	8.3225424E7	8.3660304E7	7.7478E7	1.4779226E7	1.2561344E7	1.3944401E7	
sp|Q03973|HMO1_YEAST	Q03973	HMO1_YEAST	HMO1	246	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	High mobility group protein 1	1.0	0.999	6	19	19	19	6	5	8	6	5	8	6	5	8	9.0853224E7	7.5300624E7	8.5246616E7	2.8505864E7	3.042649E7	3.46395E7	
sp|Q04053|SNX41_YEAST	Q04053	SNX41_YEAST	SNX41	625	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Sorting nexin-41	0.5915	0.9799	1	1	1	1	1	0	0	1	0	0	1	0	0	8140395.5	0.0	0.0	0.0	0.0	0.0	
sp|Q04062|RPN9_YEAST	Q04062	RPN9_YEAST	RPN9	393	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	26S proteasome regulatory subunit RPN9	1.0	0.999	13	56	56	56	19	19	18	19	19	18	19	19	18	1.6139672E8	1.6505104E8	1.64684592E8	2.1164842E7	2.2419414E7	2.3517132E7	
sp|Q04067|EIF3G_YEAST	Q04067	EIF3G_YEAST	TIF35	274	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit G	1.0	0.999	6	19	19	19	7	6	6	7	6	6	7	6	6	6.2615588E7	7.0399904E7	6.1782308E7	2.0992634E7	2.6842998E7	2.5150488E7	
sp|Q04080|GPI17_YEAST	Q04080	GPI17_YEAST	GPI17	534	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	GPI transamidase component GPI17	0.7252	0.9889	1	1	1	1	1	0	0	1	0	0	1	0	0	1.09820976E8	6.3629248E7	1.00995824E8	1.09820976E8	6.3629248E7	1.00995824E8	
sp|Q04119|PPN1_YEAST	Q04119	PPN1_YEAST	PPN1	674	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Endopolyphosphatase	0.957	0.9987	1	1	1	1	1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q04120|TSA2_YEAST	Q04120	TSA2_YEAST	TSA2	196	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Peroxiredoxin TSA2	0.9065	0.9814	2	3	3	28	1	1	1	1	1	1	8	10	10	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q04170|YD391_YEAST	Q04170	YD391_YEAST	YDR391C	232	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Uncharacterized protein YDR391C	1.0	0.999	5	14	14	14	6	4	4	6	4	4	6	4	4	2.3216236E7	2.6571834E7	3.042667E7	7166542.5	7540406.5	8298589.0	
sp|Q04175|SXM1_YEAST	Q04175	SXM1_YEAST	SXM1	944	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Importin beta SMX1	1.0	0.999	4	7	7	7	3	2	2	3	2	2	3	2	2	2.0465068E7	1.4241438E7	1.57114E7	8808036.0	7790305.0	8378635.0	
sp|Q04178|HPRT_YEAST	Q04178	HPRT_YEAST	HPT1	221	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Hypoxanthine-guanine phosphoribosyltransferase	1.0	0.999	5	13	13	13	5	3	5	5	3	5	5	3	5	7.7385904E7	7.4461448E7	7.5223264E7	4.1585832E7	3.2768732E7	3.4878696E7	
sp|Q04182|PDR15_YEAST	Q04182	PDR15_YEAST	PDR15	1529	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	ATP-dependent permease PDR15	0.9998	0.999	11	2	2	36	0	1	1	0	1	1	9	14	13	0.0	4516409.0	3488999.5	0.0	4516409.0	3488999.5	
sp|Q04225|RRB1_YEAST	Q04225	RRB1_YEAST	RRB1	511	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Ribosome assembly protein RRB1	1.0	0.999	5	9	9	9	3	2	4	3	2	4	3	2	4	2.7107716E7	2.2985696E7	3.4205096E7	8581089.0	1.0121385E7	1.4004922E7	
sp|Q04228|UBX2_YEAST	Q04228	UBX2_YEAST	UBX2	584	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	UBX domain-containing protein 2	0.752	0.9903	1	3	3	3	1	1	1	1	1	1	1	1	1	4259600.5	5338184.0	3199727.0	4259600.5	5338184.0	3199727.0	
sp|Q04304|YMY0_YEAST	Q04304	YMY0_YEAST	YMR090W	227	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	UPF0659 protein YMR090W	0.9999	0.999	2	2	2	2	2	0	0	2	0	0	2	0	0	1.2366162E7	1.0820899E7	1.1322074E7	6922227.0	5999993.0	6289784.0	
sp|Q04336|YM54_YEAST	Q04336	YM54_YEAST	YMR196W	1088	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Uncharacterized protein YMR196W	1.0	0.999	8	19	19	19	8	5	6	8	5	6	8	5	6	3.8356712E7	4.1671976E7	3.5744884E7	1.0896429E7	1.3399587E7	1.2187325E7	
sp|Q04338|VTI1_YEAST	Q04338	VTI1_YEAST	VTI1	217	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	t-SNARE VTI1	0.957	0.9987	1	1	1	1	0	0	1	0	0	1	0	0	1	5122669.0	4632530.5	6307010.5	5122669.0	4632530.5	6307010.5	
sp|Q04344|HNT1_YEAST	Q04344	HNT1_YEAST	HNT1	158	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Adenosine 5'-monophosphoramidase HNT1	1.0	0.999	4	24	24	24	8	9	7	8	9	7	8	9	7	7.6113088E7	8.9983168E7	7.6963488E7	2.948064E7	3.4399112E7	3.432844E7	
sp|Q04371|ARMT1_YEAST	Q04371	ARMT1_YEAST	YMR027W	470	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Damage-control phosphatase YMR027W	1.0	0.999	8	27	27	27	9	10	8	9	10	8	9	10	8	5.7300584E7	5.7703E7	5.7766596E7	1.0265794E7	1.0345475E7	1.0010961E7	
sp|Q04373|PUF6_YEAST	Q04373	PUF6_YEAST	PUF6	656	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Pumilio homology domain family member 6	1.0	0.999	5	9	9	9	3	2	4	3	2	4	3	2	4	3.3110422E7	3.521656E7	3.5900196E7	1.4727061E7	1.5498944E7	1.5799338E7	
sp|Q04409|EMI2_YEAST	Q04409	EMI2_YEAST	EMI2	500	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Putative glucokinase-2	1.0	0.999	15	57	57	57	20	20	17	20	20	17	20	20	17	2.1249992E8	1.79871952E8	1.93051328E8	2.6010954E7	2.1420016E7	2.423564E7	
sp|Q04410|GRH1_YEAST	Q04410	GRH1_YEAST	GRH1	372	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	GRASP65 homolog protein 1	1.0	0.999	4	7	7	7	3	1	3	3	1	3	3	1	3	1.2512746E7	1.3143157E7	1.4941166E7	5422248.5	5935481.0	6022652.0	
sp|Q04438|SPG4_YEAST	Q04438	SPG4_YEAST	SPG4	115	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Stationary phase protein 4	1.0	0.999	3	9	9	9	4	3	2	4	3	2	4	3	2	2.7333944E7	2.828853E7	3.3357064E7	9335571.0	9163970.0	1.1114725E7	
sp|Q04439|MYO5_YEAST	Q04439	MYO5_YEAST	MYO5	1219	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Myosin-5	1.0	0.999	7	9	7	9	4	3	2	4	2	1	4	3	2	4.4178552E7	5.4394404E7	4.7779096E7	1.4787574E7	2.1059266E7	1.6365098E7	
sp|Q04458|HFD1_YEAST	Q04458	HFD1_YEAST	HFD1	532	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Fatty aldehyde dehydrogenase HFD1	1.0	0.999	8	16	16	16	7	6	3	7	6	3	7	6	3	3.8467696E7	4.1530176E7	3.5326764E7	7758418.5	8115774.5	8894191.0	
sp|Q04491|SEC13_YEAST	Q04491	SEC13_YEAST	SEC13	297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein transport protein SEC13	1.0	0.999	13	83	83	83	26	27	30	26	27	30	26	27	30	2.04060544E8	2.0076344E8	2.27373328E8	3.9701084E7	3.8837676E7	4.1296668E7	
sp|Q04493|PFD5_YEAST	Q04493	PFD5_YEAST	GIM5	163	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Prefoldin subunit 5	1.0	0.999	3	3	3	3	2	0	1	2	0	1	2	0	1	1.81981E7	1.2861183E7	1.5917478E7	8516492.0	5791154.5	7818405.5	
sp|Q04600|TMA64_YEAST	Q04600	TMA64_YEAST	TMA64	565	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Translation machinery-associated protein 64	0.8403	0.9944	1	1	1	1	1	0	0	1	0	0	1	0	0	3328998.0	2176392.8	5801956.0	3328998.0	2176392.8	5801956.0	
sp|Q04602|VBA4_YEAST	Q04602	VBA4_YEAST	VBA4	768	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Vacuolar basic amino acid transporter 4	0.9997	0.9989	2	5	5	5	1	4	0	1	4	0	1	4	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q04636|POB3_YEAST	Q04636	POB3_YEAST	POB3	552	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	FACT complex subunit POB3	1.0	0.999	7	16	16	16	7	5	4	7	5	4	7	5	4	5.0024908E7	4.1251504E7	3.9876536E7	9501447.0	7910690.5	8603326.0	
sp|Q04651|ERV41_YEAST	Q04651	ERV41_YEAST	ERV41	352	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	ER-derived vesicles protein ERV41	0.9973	0.9944	2	4	4	4	2	1	1	2	1	1	2	1	1	4653452.0	4996533.5	4950267.5	4653452.0	4996533.5	4950267.5	
sp|Q04660|ERB1_YEAST	Q04660	ERB1_YEAST	ERB1	807	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Ribosome biogenesis protein ERB1	0.9976	0.999	2	3	3	3	1	1	1	1	1	1	1	1	1	7343503.5	2815590.8	3663662.5	3287537.2	3311915.0	4309482.5	
sp|Q04693|RSE1_YEAST	Q04693	RSE1_YEAST	RSE1	1361	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Pre-mRNA-splicing factor RSE1	0.9514	0.9985	1	3	3	3	1	1	1	1	1	1	1	1	1	318627.12	1.3361645E7	655579.9	318627.12	1.3361645E7	655579.9	
sp|Q04697|GSF2_YEAST	Q04697	GSF2_YEAST	GSF2	403	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Glucose-signaling factor 2	1.0	0.999	11	53	53	53	16	17	20	16	17	20	16	17	20	1.40397216E8	1.08713056E8	1.14304144E8	2.6373596E7	2.4146872E7	2.3304932E7	
sp|Q04728|ARGJ_YEAST	Q04728	ARGJ_YEAST	ARG7	441	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Arginine biosynthesis bifunctional protein ArgJ, mitochondrial	1.0	0.998	3	3	3	3	2	1	0	2	1	0	2	1	0	6530964.0	1.3128088E7	2409271.8	3763665.5	4616325.0	3776568.0	
sp|Q04767|TVP18_YEAST	Q04767	TVP18_YEAST	TVP18	167	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Golgi apparatus membrane protein TVP18	1.0	0.999	2	6	6	6	2	2	2	2	2	2	2	2	2	3.4136328E7	3.1883292E7	3.5026636E7	3.182282E7	2.6051338E7	2.7587912E7	
sp|Q04773|YMW4_YEAST	Q04773	YMW4_YEAST	YMR074C	145	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Uncharacterized protein YMR074C	1.0	0.999	2	8	8	8	3	3	2	3	3	2	3	3	2	2.0764472E7	2.0717764E7	2.1492682E7	1.081432E7	8681810.0	8923630.0	
sp|Q04792|DCE_YEAST	Q04792	DCE_YEAST	GAD1	585	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Glutamate decarboxylase	1.0	0.999	4	8	8	8	2	3	3	2	3	3	2	3	3	1.8102784E7	1.7484142E7	1.770076E7	8849611.0	7600126.0	8040356.0	
sp|Q04869|YM94_YEAST	Q04869	YM94_YEAST	YMR315W	349	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Uncharacterized protein YMR315W	1.0	0.999	13	52	52	52	15	20	17	15	20	17	15	20	17	1.65737808E8	1.65947696E8	1.78956096E8	3.2133794E7	2.8027316E7	3.0200088E7	
sp|Q04894|ADH6_YEAST	Q04894	ADH6_YEAST	ADH6	360	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	NADP-dependent alcohol dehydrogenase 6	1.0	0.999	9	60	60	60	20	21	19	20	21	19	20	21	19	2.14676816E8	2.0203312E8	1.76431536E8	4.8031624E7	4.2935544E7	4.3010928E7	
sp|Q04947|RTN1_YEAST	Q04947	RTN1_YEAST	RTN1	295	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Reticulon-like protein 1	1.0	0.999	12	67	67	67	24	21	22	24	21	22	24	21	22	3.62991648E8	3.45886336E8	3.4431072E8	1.0462684E8	1.00113544E8	1.02085024E8	
sp|Q04964|SML1_YEAST	Q04964	SML1_YEAST	SML1	104	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Ribonucleotide reductase inhibitor protein SML1	0.999	0.999	2	4	4	4	1	1	2	1	1	2	1	1	2	8328765.0	8986657.0	9048872.0	5263772.0	5868221.0	6005168.0	
sp|Q04969|SPC2_YEAST	Q04969	SPC2_YEAST	SPC2	178	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Signal peptidase complex subunit 2	1.0	0.9989	2	4	4	4	2	1	1	2	1	1	2	1	1	9973709.0	1.510146E7	1.4509638E7	6276693.0	9721697.0	9197430.0	
sp|Q05016|YM71_YEAST	Q05016	YM71_YEAST	YMR226C	267	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	NADP-dependent 3-hydroxy acid dehydrogenase	1.0	0.999	8	36	36	36	11	12	13	11	12	13	11	12	13	1.23196272E8	1.20278968E8	1.31431728E8	3.8748876E7	4.0750396E7	4.537036E7	
sp|Q05022|RRP5_YEAST	Q05022	RRP5_YEAST	RRP5	1729	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	rRNA biogenesis protein RRP5	1.0	0.999	24	56	56	56	22	17	17	22	17	17	22	17	17	1.5652184E8	1.16941736E8	1.2929716E8	1.5009379E7	1.313885E7	1.3080821E7	
sp|Q05024|TRI1_YEAST	Q05024	TRI1_YEAST	TRI1	226	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein TRI1	0.9294	0.9977	1	3	3	3	1	1	1	1	1	1	1	1	1	0.0	0.0	493472.8	0.0	0.0	0.0	
sp|Q05029|BCH1_YEAST	Q05029	BCH1_YEAST	BCH1	724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein BCH1	0.9503	0.9984	1	1	1	1	1	0	0	1	0	0	1	0	0	2782382.5	2571419.8	3350110.8	2782382.5	2571419.8	3350110.8	
sp|Q05031|DFG5_YEAST	Q05031	DFG5_YEAST	DFG5	458	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Mannan endo-1,6-alpha-mannosidase DFG5	0.9401	0.9981	1	3	3	3	1	1	1	1	1	1	1	1	1	3529855.5	3307817.0	3388935.8	3529855.5	3307817.0	3388935.8	
sp|Q05040|FAR8_YEAST	Q05040	FAR8_YEAST	FAR8	523	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Factor arrest protein 8	0.9038	0.9968	1	3	3	3	1	1	1	1	1	1	1	1	1	3405189.2	2597055.8	3017812.5	3405189.2	2597055.8	3017812.5	
sp|Q05050|EIS1_YEAST	Q05050	EIS1_YEAST	EIS1	843	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Eisosome protein 1	1.0	0.999	24	58	58	58	18	20	20	18	20	20	18	20	20	1.99347968E8	1.39246512E8	1.26667264E8	2.974445E7	2.6756894E7	2.6668818E7	
sp|Q05359|ERP1_YEAST	Q05359	ERP1_YEAST	ERP1	219	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein ERP1	1.0	0.999	5	12	12	12	4	3	5	4	3	5	4	3	5	3.612476E7	3.9722672E7	4.5148884E7	1.3440216E7	1.1918568E7	1.4810785E7	
sp|Q05506|SYRC_YEAST	Q05506	SYRC_YEAST	YDR341C	607	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Arginine--tRNA ligase, cytoplasmic	1.0	0.999	28	158	155	158	50	56	52	49	55	51	50	56	52	4.11403136E8	4.70065152E8	4.40277984E8	4.2697308E7	4.4604572E7	4.4949052E7	
sp|Q05515|SVF1_YEAST	Q05515	SVF1_YEAST	SVF1	481	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Survival factor 1	1.0	0.999	6	14	14	14	6	4	4	6	4	4	6	4	4	5.4933416E7	5.4239704E7	4.4166456E7	2.0107544E7	2.8447922E7	2.84943E7	
sp|Q05521|DPP1_YEAST	Q05521	DPP1_YEAST	DPP1	289	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Diacylglycerol pyrophosphate phosphatase 1	0.9636	0.9989	1	4	4	4	1	1	2	1	1	2	1	1	2	3424700.2	3311864.5	4200171.0	3424700.2	3311864.5	4200171.0	
sp|Q05543|RT103_YEAST	Q05543	RT103_YEAST	RTT103	409	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Regulator of Ty1 transposition protein 103	0.8666	0.9954	1	1	1	1	1	0	0	1	0	0	1	0	0	2048688.6	0.0	2419316.0	2048688.6	0.0	2419316.0	
sp|Q05567|SGPL_YEAST	Q05567	SGPL_YEAST	DPL1	589	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Sphingosine-1-phosphate lyase	1.0	0.999	8	18	18	18	5	6	7	5	6	7	5	6	7	2.899887E7	2.7262138E7	4.575794E7	7366302.0	8169607.5	1.0974861E7	
sp|Q05583|CIAO1_YEAST	Q05583	CIAO1_YEAST	CIA1	330	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cytosolic iron-sulfur protein assembly protein 1	0.6724	0.9857	1	1	1	1	0	1	0	0	1	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q05584|GLO2_YEAST	Q05584	GLO2_YEAST	GLO2	274	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Hydroxyacylglutathione hydrolase, cytoplasmic isozyme	1.0	0.999	3	7	7	7	3	3	1	3	3	1	3	3	1	2.3364364E7	2.5745074E7	2.340245E7	1.0149294E7	1.1237179E7	1.003144E7	
sp|Q05636|RRP45_YEAST	Q05636	RRP45_YEAST	RRP45	305	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Exosome complex component RRP45	1.0	0.9979	4	8	8	8	3	2	3	3	2	3	3	2	3	5.9301544E7	4.9535484E7	5.031842E7	4.7445004E7	4.5322296E7	4.8912196E7	
sp|Q05775|EIF3J_YEAST	Q05775	EIF3J_YEAST	HCR1	265	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit J	1.0	0.999	6	25	25	25	9	8	8	9	8	8	9	8	8	1.09667352E8	9.8452896E7	8.5546184E7	2.9777174E7	2.7251762E7	2.7861746E7	
sp|Q05778|POC1_YEAST	Q05778	POC1_YEAST	PBA1	276	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Proteasome chaperone 1	0.964	0.9989	1	1	1	1	0	1	0	0	1	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q05785|ENT2_YEAST	Q05785	ENT2_YEAST	ENT2	613	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Epsin-2	1.0	0.999	3	6	6	6	3	1	2	3	1	2	3	1	2	8285519.0	8296648.0	1.0430556E7	3532316.0	3653987.0	4429234.5	
sp|Q05788|PNPH_YEAST	Q05788	PNPH_YEAST	PNP1	311	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Purine nucleoside phosphorylase	1.0	0.999	2	7	7	7	2	2	3	2	2	3	2	2	3	1.3784283E7	1.5091311E7	2.3892218E7	1.3784283E7	1.5091311E7	2.0386838E7	
sp|Q05874|EFM7_YEAST	Q05874	EFM7_YEAST	NNT1	261	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein N-terminal and lysine N-methyltransferase EFM7	0.9674	0.999	1	4	4	4	1	2	1	1	2	1	1	2	1	2830280.2	3708281.0	4828064.5	2830280.2	3708281.0	4828064.5	
sp|Q05905|HRI1_YEAST	Q05905	HRI1_YEAST	HRI1	244	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein HRI1	1.0	0.999	8	42	42	42	14	15	13	14	15	13	14	15	13	1.76906352E8	1.81510032E8	1.48704048E8	3.6836984E7	3.86615E7	3.9994264E7	
sp|Q05911|PUR8_YEAST	Q05911	PUR8_YEAST	ADE13	482	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Adenylosuccinate lyase	1.0	0.999	18	111	111	111	39	34	38	39	34	38	39	34	38	6.2166317E8	5.1754368E8	8.138704E8	1.04884664E8	9.141984E7	9.9170256E7	
sp|Q05933|ARPC3_YEAST	Q05933	ARPC3_YEAST	ARC18	178	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Actin-related protein 2/3 complex subunit 3	1.0	0.999	4	12	12	12	4	5	3	4	5	3	4	5	3	5.1787376E7	5.4364864E7	5.6745132E7	1.8581076E7	1.9008612E7	2.045053E7	
sp|Q05946|UTP13_YEAST	Q05946	UTP13_YEAST	UTP13	817	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	U3 small nucleolar RNA-associated protein 13	0.6311	0.9829	1	1	1	1	1	0	0	1	0	0	1	0	0	1484111.4	0.0	0.0	0.0	0.0	0.0	
sp|Q05948|YL225_YEAST	Q05948	YL225_YEAST	YLR225C	407	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Uncharacterized SVF1-like protein YLR225C	0.967	0.999	1	2	2	2	1	1	0	1	1	0	1	1	0	4682098.0	4735319.5	0.0	4682098.0	4735319.5	0.0	
sp|Q06010|STE23_YEAST	Q06010	STE23_YEAST	STE23	1027	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	A-factor-processing enzyme	1.0	0.9989	5	8	8	8	6	1	1	6	1	1	6	1	1	1.7588432E7	1.3311249E7	1.0471879E7	5403869.0	5670252.5	4698760.0	
sp|Q06053|DUS3_YEAST	Q06053	DUS3_YEAST	DUS3	668	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	tRNA-dihydrouridine(47) synthase [NAD(P)(+)]	0.6141	0.9817	1	1	1	1	0	0	1	0	0	1	0	0	1	0.0	0.0	2912057.8	0.0	0.0	0.0	
